Entry,Entry name,Status,Protein names,Gene names,Organism,Length,GO
P38892,CRG1_YEAST,reviewed,Probable S-adenosylmethionine-dependent methyltransferase CRG1 (EC 2.1.1.-) (Cantharidin resistance protein 1),CRG1 YHR209W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),291,GO:0003729
P40994,ARF3_YEAST,reviewed,ADP-ribosylation factor 3,ARF3 YOR094W YOR3172W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),183,GO:0003729
P38934,BFR1_YEAST,reviewed,Nuclear segregation protein BFR1 (Brefeldin A resistance protein 1),BFR1 YOR198C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),470,GO:0003729
P12385,ERF1_YEAST,reviewed,Eukaryotic peptide chain release factor subunit 1 (Eukaryotic release factor 1) (eRF1) (Omnipotent suppressor protein 1),SUP45 SAL4 SUP1 YBR143C YBR1120,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),437,GO:0003729
P40024,ARB1_YEAST,reviewed,ABC transporter ATP-binding protein ARB1 (ATP-binding cassette protein involved in ribosome biogenesis 1),ARB1 YER036C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),610,GO:0042254
P38772,BCD1_YEAST,reviewed,Box C/D snoRNA protein 1,BCD1 YHR040W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),366,GO:0042254
Q12754,RRP12_YEAST,reviewed,Ribosomal RNA-processing protein 12,RRP12 YPL012W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1228,GO:0042254
Q01080,RPA49_YEAST,reviewed,DNA-directed RNA polymerase I subunit RPA49 (A49) (DNA-directed RNA polymerase I 49 kDa polypeptide),RPA49 RRN13 YNL248C N0880,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),415,GO:0042254
P22139,RPAB5_YEAST,reviewed,"DNA-directed RNA polymerases I, II, and III subunit RPABC5 (RNA polymerases I, II, and III subunit ABC5) (ABC10-beta) (ABC8) (DNA-directed RNA polymerases I, II, and III 8.3 kDa polypeptide)",RPB10 YOR210W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),70,GO:0042254
P35169,TOR1_YEAST,reviewed,Serine/threonine-protein kinase TOR1 (EC 2.7.11.1) (Dominant rapamycin resistance protein 1) (Phosphatidylinositol kinase homolog TOR1) (Target of rapamycin kinase 1),TOR1 DRR1 YJR066W J1803,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),2470,GO:0042254
P32600,TOR2_YEAST,reviewed,Serine/threonine-protein kinase TOR2 (EC 2.7.1.67) (EC 2.7.11.1) (Dominant rapamycin resistance protein 2) (Phosphatidylinositol 4-kinase TOR2) (PI4-kinase TOR2) (PI4K TOR2) (PtdIns-4-kinase TOR2) (Target of rapamycin kinase 2) (Temperature-sensitive CSG2 suppressor protein 14),TOR2 DRR2 TSC14 YKL203C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),2474,GO:0042254
O14464,RTC6_YEAST,reviewed,"54S ribosomal protein RTC6, mitochondrial (Mitochondrial large ribosomal subunit protein bL36m) (Restriction of telomere capping protein 6) (Translation associated element 4)",RTC6 TAE4 YPL183W-A YPL183BW,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),93,GO:0042254
P20435,RPAB2_YEAST,reviewed,"DNA-directed RNA polymerases I, II, and III subunit RPABC2 (RNA polymerases I, II, and III subunit ABC2) (ABC23) (DNA-directed RNA polymerases I, II, and III 23 kDa polypeptide)",RPO26 RPB6 YPR187W P9677.8,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),155,GO:0042254
P47006,RPA34_YEAST,reviewed,DNA-directed RNA polymerase I subunit RPA34 (A34) (DNA-directed DNA-dependent RNA polymerase 34.5 kDa polypeptide) (A34.5),RPA34 YJL148W J0637,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),233,GO:0042254
P26786,RS7A_YEAST,reviewed,40S ribosomal protein S7-A (RP30) (RP40) (Small ribosomal subunit protein eS7-A),RPS7A RPS30 YOR096W YOR3177W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),190,GO:0042254
P28000,RPAC2_YEAST,reviewed,DNA-directed RNA polymerases I and III subunit RPAC2 (RNA polymerases I and III subunit AC2) (AC19) (DNA-directed RNA polymerases I and III 16 kDa polypeptide) (RPA19),RPC19 YNL113W N1937,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),142,GO:0042254
P47108,URB2_YEAST,reviewed,Nucleolar pre-ribosomal-associated protein 2 (Unhealthy ribosome biogenesis protein 2),URB2 NPA2 YJR041C J1622,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1174,GO:0042254
A6ZQK9,ALB1_YEAS7,reviewed,Ribosome biogenesis protein ALB1,ALB1 SCY_3170,Saccharomyces cerevisiae (strain YJM789) (Baker's yeast),175,GO:0042254
P36521,RM11_YEAST,reviewed,"54S ribosomal protein L11, mitochondrial (Mitochondrial large ribosomal subunit protein uL10m) (YmL11)",MRPL11 YDL202W D1070,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),249,GO:0042254
P05759,RS31_YEAST,reviewed,Ubiquitin-40S ribosomal protein S31 [Cleaved into: Ubiquitin; 40S ribosomal protein S31 (CEP76) (S37) (Small ribosomal subunit protein eS31) (YS24)],RPS31 RPS37 UBI3 YLR167W L9470.14,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),152,GO:0042254
P40422,RPAB4_YEAST,reviewed,"DNA-directed RNA polymerases I, II, and III subunit RPABC4 (RNA polymerases I, II, and III subunit ABC4) (ABC10-alpha)",RPC10 RPB12 YHR143W-A YHR143BW,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),70,GO:0042254
P48164,RS7B_YEAST,reviewed,40S ribosomal protein S7-B (Small ribosomal subunit protein eS7-B),RPS7B YNL096C N2212,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),190,GO:0042254
P10964,RPA1_YEAST,reviewed,DNA-directed RNA polymerase I subunit RPA190 (EC 2.7.7.6) (DNA-directed RNA polymerase I 190 kDa polypeptide) (A190) (DNA-directed RNA polymerase I largest subunit),RPA190 RPA1 RRN1 YOR341W O6276,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1664,GO:0042254
P40462,TM108_YEAST,reviewed,Protein TMA108 (EC 3.4.11.-) (108 kDa translation machinery-associated protein),TMA108 YIL137C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),946,GO:0042254
P40525,RL34B_YEAST,reviewed,60S ribosomal protein L34-B (Large ribosomal subunit protein eL34-B),RPL34B YIL052C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),121,GO:0042254
P07703,RPAC1_YEAST,reviewed,DNA-directed RNA polymerases I and III subunit RPAC1 (RNA polymerases I and III subunit AC1) (C37) (DNA-directed RNA polymerases I and III 40 kDa polypeptide) (AC40) (C40),RPC40 RPC5 YPR110C P8283.18,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),335,GO:0042254
Q04225,RRB1_YEAST,reviewed,Ribosome assembly protein RRB1,RRB1 YMR131C YM9553.07C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),511,GO:0042254
P53919,NAF1_YEAST,reviewed,H/ACA ribonucleoprotein complex non-core subunit NAF1 (Nuclear assembly factor 1),NAF1 YNL124W N1888,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),492,GO:0042254
P87262,RL34A_YEAST,reviewed,60S ribosomal protein L34-A (Large ribosomal subunit protein eL34-A),RPL34A YER056C-A YER056BC,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),121,GO:0042254
P46669,RPA43_YEAST,reviewed,DNA-directed RNA polymerase I subunit RPA43 (A43) (DNA-directed DNA-dependent RNA polymerase 36 kDa polypeptide),RPA43 RRN12 YOR340C O6271,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),326,GO:0042254
P20434,RPAB1_YEAST,reviewed,"DNA-directed RNA polymerases I, II, and III subunit RPABC1 (RNA polymerases I, II, and III subunit ABC1) (ABC27) (DNA-directed RNA polymerases I, II, and III 27 kDa polypeptide)",RPB5 RPA7 RPC9 YBR154C YBR1204,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),215,GO:0042254
P36009,DHR2_YEAST,reviewed,Probable ATP-dependent RNA helicase DHR2 (EC 3.6.4.13) (DEAH box RNA helicase DHR2) (Helicase JA2),DHR2 YKL078W YKL408,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),735,GO:0042254
Q07844,RIX7_YEAST,reviewed,Ribosome biogenesis ATPase RIX7,RIX7 YLL034C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),837,GO:0042254
P0CH08,RL40A_YEAST,reviewed,Ubiquitin-60S ribosomal protein L40 [Cleaved into: Ubiquitin; 60S ribosomal protein L40-A (CEP52) (Large ribosomal subunit protein eL40-A)],RPL40A UBI1 YIL148W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),128,GO:0042254
P32529,RPA12_YEAST,reviewed,DNA-directed RNA polymerase I subunit RPA12 (A12) (A12.2) (DNA-directed RNA polymerase I 13.7 kDa polypeptide),RPA12 RRN4 YJR063W J1747,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),125,GO:0042254
P50106,RPA14_YEAST,reviewed,DNA-directed RNA polymerase I subunit RPA14 (A14) (DNA-directed RNA polymerase I 14 kDa polypeptide),RPA14 YDR156W YD8358.11,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),137,GO:0042254
P0CH09,RL40B_YEAST,reviewed,Ubiquitin-60S ribosomal protein L40 [Cleaved into: Ubiquitin; 60S ribosomal protein L40-B (CEP52) (Large ribosomal subunit protein eL40-B)],RPL40B UBI2 YKR094C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),128,GO:0042254
P32385,RNP1_YEAST,reviewed,Ribonucleoprotein 1,RNP1 YLL046C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),249,GO:0042254
P22138,RPA2_YEAST,reviewed,DNA-directed RNA polymerase I subunit RPA135 (EC 2.7.7.6) (DNA-directed RNA polymerase I 135 kDa polypeptide) (A135) (DNA-directed RNA polymerase I polypeptide 2) (RNA polymerase I subunit 2),RPA135 RPA2 RRN2 SRP3 YPR010C YP9531.03C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1203,GO:0042254
P20436,RPAB3_YEAST,reviewed,"DNA-directed RNA polymerases I, II, and III subunit RPABC3 (RNA polymerases I, II, and III subunit ABC3) (ABC14.4) (ABC14.5) (DNA-directed RNA polymerases I, II, and III 14.5 kDa polypeptide)",RPB8 YOR224C YOR50-14,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),146,GO:0042254
P89886,TMA20_YEAST,reviewed,Translation machinery-associated protein 20,TMA20 YER007C-A,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),181,GO:0042254
A7A0P8,DRS1_YEAS7,reviewed,ATP-dependent RNA helicase DRS1 (EC 3.6.4.13) (Deficiency of ribosomal subunits protein 1),DRS1 SCY_3572,Saccharomyces cerevisiae (strain YJM789) (Baker's yeast),754,GO:0042254
P53188,CGR1_YEAST,reviewed,rRNA-processing protein CGR1 (Coiled-coil growth-regulated protein 1),CGR1 YGL029W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),120,GO:0042254
Q04217,DHR1_YEAST,reviewed,Probable ATP-dependent RNA helicase DHR1 (EC 3.6.4.13) (DEAH box RNA helicase DHR1) (Extracellular mutant protein 16),ECM16 DHR1 YMR128W YM9553.04,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1267,GO:0042254
P38930,CSK2C_YEAST,reviewed,Casein kinase II subunit beta' (CK II beta'),CKB2 YOR039W OR26.32,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),258,GO:0006364
P33322,CBF5_YEAST,reviewed,H/ACA ribonucleoprotein complex subunit CBF5 (EC 5.4.99.-) (Centromere-binding factor 5) (Centromere/microtubule-binding protein CBF5) (H/ACA snoRNP protein CBF5) (Small nucleolar RNP protein CBF5) (p64'),CBF5 YLR175W L9470.11,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),483,GO:0006364
P19454,CSK22_YEAST,reviewed,Casein kinase II subunit alpha' (CK II) (EC 2.7.11.1),CKA2 YOR061W YOR29-12,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),339,GO:0006364
P38772,BCD1_YEAST,reviewed,Box C/D snoRNA protein 1,BCD1 YHR040W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),366,GO:0006364
Q08492,BUD21_YEAST,reviewed,Bud site selection protein 21 (U three protein 16) (U3 small nucleolar RNA-associated protein 16) (U3 snoRNA-associated protein 16),BUD21 UTP16 YOR078W YOR29-29,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),214,GO:0006364
A6ZVI6,UTP25_YEAS7,reviewed,U3 small nucleolar RNA-associated protein 25 (U3 snoRNA-associated protein 25) (U three protein 25),UTP25 SCY_2702,Saccharomyces cerevisiae (strain YJM789) (Baker's yeast),721,GO:0006364
P36160,RPF2_YEAST,reviewed,Ribosome biogenesis protein RPF2,RPF2 YKR081C YKR401,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),344,GO:0006364
P53256,RRP46_YEAST,reviewed,Exosome complex component RRP46 (Ribosomal RNA-processing protein 46),RRP46 YGR095C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),223,GO:0006364
P38792,RRP4_YEAST,reviewed,Exosome complex component RRP4 (Ribosomal RNA-processing protein 4),RRP4 YHR069C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),359,GO:0006364
Q12754,RRP12_YEAST,reviewed,Ribosomal RNA-processing protein 12,RRP12 YPL012W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1228,GO:0006364
P40498,UTP25_YEAST,reviewed,U3 small nucleolar RNA-associated protein 25 (U3 snoRNA-associated protein 25) (U three protein 25),UTP25 YIL091C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),721,GO:0006364
Q12220,UTP12_YEAST,reviewed,U3 small nucleolar RNA-associated protein 12 (U3 snoRNA-associated protein 12) (DOM34-interacting protein 2) (U three protein 12),DIP2 UTP12 YLR129W L3116 L9233.1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),943,GO:0006364
Q06078,UTP21_YEAST,reviewed,U3 small nucleolar RNA-associated protein 21 (U3 snoRNA-associated protein 21) (U three protein 21),UTP21 YLR409C L8084.22,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),939,GO:0006364
Q05946,UTP13_YEAST,reviewed,U3 small nucleolar RNA-associated protein 13 (U3 snoRNA-associated protein 13) (U three protein 13),UTP13 YLR222C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),817,GO:0006364
Q12149,RRP6_YEAST,reviewed,Exosome complex exonuclease RRP6 (EC 3.1.13.-) (Ribosomal RNA-processing protein 6),RRP6 UNC733 YOR001W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),733,GO:0006364
P40055,UTP7_YEAST,reviewed,U3 small nucleolar RNA-associated protein 7 (U3 snoRNA-associated protein 7) (U three protein 7),UTP7 KRE31 YER082C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),554,GO:0006364
Q02931,UTP17_YEAST,reviewed,NET1-associated nuclear protein 1 (U three protein 17) (t-17) (U3 protein 17 required for transcription) (U3 small nucleolar RNA-associated protein 17) (U3 snoRNA-associated protein 17),NAN1 UTP17 YPL126W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),896,GO:0006364
Q12464,RUVB2_YEAST,reviewed,RuvB-like protein 2 (RUVBL2) (EC 3.6.4.12) (TIP49-homology protein 2) (TIP49b homolog),RVB2 TIH2 TIP49B YPL235W P1060,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),471,GO:0006364
P35194,UTP20_YEAST,reviewed,U3 small nucleolar RNA-associated protein 20 (U3 snoRNA-associated protein 20) (U three protein 20),UTP20 YBL004W YBL0101,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),2493,GO:0006364
C8ZAF8,UTP25_YEAS8,reviewed,U3 small nucleolar RNA-associated protein 25 (U3 snoRNA-associated protein 25) (U three protein 25),UTP25 EC1118_1I12_0958g,Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) (Baker's yeast),721,GO:0006364
P40693,RLP7_YEAST,reviewed,Ribosome biogenesis protein RLP7 (Ribosomal protein L7-like),RLP7 RPL7 YNL002C N2014,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),322,GO:0006364
Q06506,RRP9_YEAST,reviewed,Ribosomal RNA-processing protein 9,RRP9 YPR137W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),573,GO:0006364
Q12094,TSR3_YEAST,reviewed,18S rRNA aminocarboxypropyltransferase (EC 2.5.1.-) (20S rRNA accumulation protein 3) (ScTsr3),TSR3 YOR006C UND313,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),313,GO:0006364
P18888,SNF6_YEAST,reviewed,Transcription regulatory protein SNF6 (SWI/SNF complex component SNF6),SNF6 YHL025W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),332,GO:0006364
B5VM59,UTP11_YEAS6,reviewed,U3 small nucleolar RNA-associated protein 11 (U3 snoRNA-associated protein 11) (U three protein 11),UTP11 AWRI1631_111230,Saccharomyces cerevisiae (strain AWRI1631) (Baker's yeast),250,GO:0006364
P38711,RS27B_YEAST,reviewed,40S ribosomal protein S27-B (RP61) (Small ribosomal subunit protein eS27-B) (YS20),RPS27B YHR021C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),82,GO:0006364
O13516,RS9A_YEAST,reviewed,40S ribosomal protein S9-A (RP21) (S13) (Small ribosomal subunit protein uS4-A) (YP28) (YS11),RPS9A RPS13A YS11A YPL081W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),197,GO:0006364
Q03124,RSC9_YEAST,reviewed,Chromatin structure-remodeling complex subunit RSC9 (RSC complex subunit RSC9) (Remodel the structure of chromatin complex subunit 9),RSC9 YML127W YM4987.08,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),581,GO:0006364
Q12090,REXO3_YEAST,reviewed,RNA exonuclease 3 (EC 3.1.-.-),REX3 YLR107W L2904,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),404,GO:0006364
P36144,RL1D1_YEAST,reviewed,Ribosome biogenesis protein UTP30 (U3 snoRNP-associated protein UTP30),UTP30 YKR060W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),274,GO:0006364
P53738,TR112_YEAST,reviewed,Multifunctional methyltransferase subunit TRM112 (eRF1 methyltransferase subunit TRM112) (eRF1 MTase subunit TRM112) (tRNA methyltransferase 112),TRM112 YNR046W N3445,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),135,GO:0006364
Q12362,RIB2_YEAST,reviewed,"Bifunctional protein RIB2 [Includes: tRNA pseudouridine(32) synthase, cytoplasmic (EC 5.4.99.28) (tRNA pseudouridine synthase 8) (tRNA pseudouridylate synthase 8) (tRNA-uridine isomerase 8); Diaminohydroxyphosphoribosylaminopyrimidine deaminase (DRAP deaminase) (EC 3.5.4.26) (Riboflavin-specific deaminase)]",RIB2 PUS8 YOL066C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),591,GO:0006364
P25443,RS2_YEAST,reviewed,40S ribosomal protein S2 (Omnipotent suppressor protein SUP44) (RP12) (S4) (Small ribosomal subunit protein uS5) (YS5),RPS2 RPS4 SUP38 SUP44 YGL123W G2893,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),254,GO:0006364
P0C0X0,RS28B_YEAST,reviewed,40S ribosomal protein S28-B (S33) (Small ribosomal subunit protein eS28-B) (YS27),RPS28B RPS33B YLR264W L8479.5,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),67,GO:0006364
P0CX31,RS24A_YEAST,reviewed,40S ribosomal protein S24-A (RP50) (Small ribosomal subunit protein eS24-A),RPS24A RPS24EA YER074W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),135,GO:0006364
P38804,SDO1L_YEAST,reviewed,Restriction of telomere capping protein 3,RTC3 YHR087W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),111,GO:0006364
P25359,RRP43_YEAST,reviewed,Exosome complex component RRP43 (Ribosomal RNA-processing protein 43),RRP43 YCR035C YCR35C YCR522,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),394,GO:0006364
P40150,SSB2_YEAST,reviewed,Ribosome-associated molecular chaperone SSB2 (EC 3.6.4.10) (Heat shock protein SSB2) (Hsp70 chaperone Ssb),SSB2 YG103 YNL209W N1333,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),613,GO:0006364
Q07381,TSR1_YEAST,reviewed,Ribosome biogenesis protein TSR1 (20S rRNA accumulation protein 1),TSR1 YDL060W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),788,GO:0006364
P34241,URB1_YEAST,reviewed,Nucleolar pre-ribosomal-associated protein 1 (Unhealthy ribosome biogenesis protein 1),URB1 NPA1 YKL014C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1764,GO:0006364
Q12481,RRP36_YEAST,reviewed,rRNA biogenesis protein RRP36 (Ribosomal RNA-processing protein 36),RRP36 YOR287C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),300,GO:0006364
P26786,RS7A_YEAST,reviewed,40S ribosomal protein S7-A (RP30) (RP40) (Small ribosomal subunit protein eS7-A),RPS7A RPS30 YOR096W YOR3177W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),190,GO:0006364
P38789,SSF1_YEAST,reviewed,Ribosome biogenesis protein SSF1,SSF1 YHR066W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),453,GO:0006364
P40362,UTP18_YEAST,reviewed,U3 small nucleolar RNA-associated protein 18 (U3 snoRNA-associated protein 18) (U three protein 18),UTP18 YJL069C HRE594 J1098,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),594,GO:0006364
P0CX52,RS16B_YEAST,reviewed,40S ribosomal protein S16-B (RP61R) (Small ribosomal subunit protein uS9-B),RPS16B YDL083C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),143,GO:0006364
P42945,UTP10_YEAST,reviewed,U3 small nucleolar RNA-associated protein 10 (U3 snoRNA-associated protein 10) (U three protein 10) (U3 protein 10 required for transcription) (t-UTP10),UTP10 YJL109C J0808,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1769,GO:0006364
P53254,UTP22_YEAST,reviewed,U3 small nucleolar RNA-associated protein 22 (U3 snoRNA-associated protein 22) (U three protein 22),UTP22 YGR090W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1237,GO:0006364
Q04177,UTP5_YEAST,reviewed,U3 small nucleolar RNA-associated protein 5 (U3 snoRNA-associated protein 5) (U three protein 5) (U3 protein 5 required for transcription) (t-UTP5),UTP5 YDR398W D9509.17,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),643,GO:0006364
P38882,UTP9_YEAST,reviewed,U3 small nucleolar RNA-associated protein 9 (U3 snoRNA-associated protein 9) (U three protein 9) (U3 protein 9 required for transcription) (t-UTP9),UTP9 YHR196W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),575,GO:0006364
Q12339,UTP23_YEAST,reviewed,rRNA-processing protein UTP23 (U three protein 23) (U3 small nucleolar RNA-associated protein 23) (U3 snoRNA-associated protein 23),UTP23 YOR004W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),254,GO:0006364
P38805,RPF1_YEAST,reviewed,Ribosome production factor 1 (Ribosome biogenesis protein RPF1),RPF1 YHR088W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),295,GO:0006364
P0CX39,RS8A_YEAST,reviewed,40S ribosomal protein S8-A (RP19) (S14) (Small ribosomal subunit protein eS8-A) (YS9),RPS8A RPS14A YBL072C YBL06.05 YBL0613,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),200,GO:0006364
P11484,SSB1_YEAST,reviewed,Ribosome-associated molecular chaperone SSB1 (EC 3.6.4.10) (Cold-inducible protein YG101) (Heat shock protein SSB1) (Hsp70 chaperone Ssb),SSB1 YG101 YDL229W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),613,GO:0006364
Q06679,UTP4_YEAST,reviewed,U3 small nucleolar RNA-associated protein 4 (U3 snoRNA-associated protein 4) (U three protein 4) (U3 protein 4 required for transcription) (t-UTP4),UTP4 YDR324C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),776,GO:0006364
Q3E754,RS21B_YEAST,reviewed,40S ribosomal protein S21-B (S26) (Small ribosomal subunit protein eS21-B) (YS25),RPS21B RPS25B RPS26B YJL136C J0664,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),87,GO:0006364
Q04500,UTP14_YEAST,reviewed,U3 small nucleolar RNA-associated protein 14 (U3 snoRNA-associated protein 14) (U three protein 14),UTP14 YML093W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),899,GO:0006364
P22147,XRN1_YEAST,reviewed,5'-3' exoribonuclease 1 (EC 3.1.13.-) (DNA strand transfer protein beta) (STP-beta) (KAR(-)-enhancing mutation protein) (Strand exchange protein 1) (p175),XRN1 DST2 KEM1 RAR5 SEP1 SKI1 YGL173C G1645,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1528,GO:0006364
P37263,YC16_YEAST,reviewed,UPF0743 protein YCR087C-A,YCR087C-A YCRX16C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),153,GO:0006364
Q06511,RRP15_YEAST,reviewed,Ribosomal RNA-processing protein 15,RRP15 YPR143W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),250,GO:0006364
P25582,SPB1_YEAST,reviewed,27S pre-rRNA (guanosine(2922)-2'-O)-methyltransferase (EC 2.1.1.167) (2'-O-ribose RNA methyltransferase SPB1) (AdoMet-dependent rRNA methyltransferase SPB1) (S-adenosyl-L-methionine-dependent methyltransferase) (Suppressor of PAB1 protein 1),SPB1 YCL054W YCL431 YCL54W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),841,GO:0006364
